grade,risk_segment,loan_count,total_loan_amnt,avg_int_rate,default_rate,avg_fico,watchlist_count
A,Prime,433027,6323641900.0,7.084545374768779,0.036665150210033096,730.9927025335603,87602
B,Near-Prime,663590,9405243475.0,10.67590292198496,0.0880694404677587,701.8309807260507,225856
C,Near-Prime,650053,9775551175.0,14.143688622312336,0.14588810450840162,691.2742914808484,274256
D,Subprime,324424,5097344375.0,18.143067189850317,0.20650136857938994,685.9563826967179,175231
E,Subprime,135639,2367318100.0,21.829652533563355,0.28581012835541403,684.421169427672,113871
F,Deep Subprime,41800,799410225.0,25.45409066985646,0.36732057416267944,682.3837440191387,41422
G,Deep Subprime,12168,248032375.0,28.074255424063114,0.4032708744247206,681.2385765943458,12104
